Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,BAU ,90,80,70,60,50,40,30,20,10,0
0,CO2_Budget,ID,ID,0,720,11,12,13,14,15,16,17,18,19,20,21
1,RE_PV_Rooftop_Lim,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
2,RE_PV_Openfield_Lim,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
3,RE_WIND_Offshore_Lim,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
4,RE_WIND_Onshore_Lim,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
5,PP_CO2,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
6,BESS,ID,ID,0,720,0,0,0,0,0,0,0,0,0,0,0
7,EL_to_HTH,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
8,EL_to_NH3,ID,ID,0,720,0,0,0,0,0,0,0,0,0,0,0
9,NH3_Storage,ID,ID,0,720,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive
10,NH3_to_EL,ID,ID,0,720,0,0,0,0,0,0,0,0,0,0,0
11,NH3_to_HTH,ID,ID,0,720,0,0,0,0,0,0,0,0,0,0,0
12,FF_to_HTH,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
13,EL_Demand,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
14,HTH_Demand,ID,ID,0,720,1,1,1,1,1,1,1,1,1,1,1
